City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Severomuysk,RU,2021-10-12 10:12:14,56.1481,113.4267,21.63,95,100,4.85
162,Beruwala,LK,2021-10-12 10:14:59,6.4788,79.9828,82.15,79,39,12.75
163,Mulege,MX,2021-10-12 10:14:59,26.8833,-111.9833,70.21,57,3,9.06
164,Kudahuvadhoo,MV,2021-10-12 10:15:00,2.6708,72.8944,83.59,73,34,17.45
165,Esperance,AU,2021-10-12 10:14:09,-33.8667,121.9,54.72,62,94,25.59
166,Mayo,US,2021-10-12 10:15:00,38.8876,-76.5119,65.19,94,90,1.99
167,Oranjemund,NA,2021-10-12 10:15:01,-28.55,16.4333,67.53,62,80,9.64
168,Hambantota,LK,2021-10-12 10:15:01,6.1241,81.1185,84.58,66,95,19.35
169,Abu Kamal,SY,2021-10-12 10:15:02,34.4506,40.9171,91.47,11,59,3.4
170,Coolum Beach,AU,2021-10-12 10:15:03,-26.5333,153.1,67.1,89,84,8.88
171,Iglesias,IT,2021-10-12 10:15:03,39.3114,8.535,68.79,50,0,8.05
172,Hirara,JP,2021-10-12 10:15:04,24.8,125.2833,80.46,94,75,18.41
173,Lulea,SE,2021-10-12 10:15:05,65.5842,22.1547,46.47,76,0,12.66
174,Dingle,PH,2021-10-12 10:15:06,10.9995,122.6711,77.52,88,100,10.29
175,Tilichiki,RU,2021-10-12 10:15:06,60.4667,166.1,21.88,68,0,6.38
176,Araouane,ML,2021-10-12 10:15:07,18.9048,-3.5265,96.98,7,44,8.63
177,Barrow,US,2021-10-12 10:15:07,71.2906,-156.7887,30.22,80,90,18.41
178,San Vicente,AR,2021-10-12 10:15:07,-26.6167,-54.1333,60.53,98,60,0.83
179,Puerto Ayora,EC,2021-10-12 10:15:08,-0.7393,-90.3518,68.56,89,97,5.01
180,Nabire,ID,2021-10-12 10:15:08,-3.3667,135.4833,81.1,82,48,0.69
181,Alice Springs,AU,2021-10-12 10:13:02,-23.7,133.8833,80.15,26,0,9.22
182,Paka,MY,2021-10-12 10:15:09,4.6374,103.4368,83.71,77,100,5.21
183,Tezu,IN,2021-10-12 10:15:09,27.9167,96.1667,88.92,59,4,1.25
184,Ribeira Grande,PT,2021-10-12 10:15:09,38.5167,-28.7,70.2,73,20,8.05
185,Khatanga,RU,2021-10-12 10:15:10,71.9667,102.5,16.11,96,100,6.73
186,Kaeo,NZ,2021-10-12 10:15:10,-35.1,173.7833,49.32,86,8,5.66
187,Herat,AF,2021-10-12 10:13:15,34.5,62.0,64.13,15,0,16.49
188,Omsukchan,RU,2021-10-12 10:15:10,62.5333,155.8,14.5,95,100,5.86
189,Narsaq,GL,2021-10-12 10:15:11,60.9167,-46.05,34.02,55,52,4.32
190,Bam,IR,2021-10-12 10:15:11,29.106,58.357,78.01,7,0,9.69
191,La Ronge,CA,2021-10-12 10:15:12,55.1001,-105.2842,32.22,100,90,10.36
192,Yar-Sale,RU,2021-10-12 10:15:12,66.8333,70.8333,30.81,76,98,11.3
193,Liverpool,GB,2021-10-12 10:15:12,53.4106,-2.9779,58.75,88,75,7.0
194,San Quintin,MX,2021-10-12 10:15:13,30.4833,-115.95,61.86,61,19,11.27
195,Kenai,US,2021-10-12 10:15:13,60.5544,-151.2583,41.14,93,1,4.61
196,Chirongui,YT,2021-10-12 10:15:13,-12.9319,45.1483,84.13,69,14,5.35
197,La Palma,US,2021-10-12 10:15:14,33.8464,-118.0467,62.78,34,1,5.99
198,Vologda,RU,2021-10-12 10:15:14,59.2187,39.8886,49.44,58,100,11.12
199,Samarai,PG,2021-10-12 10:15:14,-10.6167,150.6667,80.31,85,96,5.7
200,Tarakan,ID,2021-10-12 10:15:15,3.3,117.6333,84.38,79,100,10.65
201,Kavaratti,IN,2021-10-12 10:15:15,10.5669,72.642,81.93,80,100,20.09
202,Mae Sot,TH,2021-10-12 10:15:15,16.7167,98.5667,81.95,89,88,1.83
203,Khani,GE,2021-10-12 10:15:16,41.9563,42.9566,67.57,38,60,5.1
204,Tromso,NO,2021-10-12 10:15:16,69.6496,18.957,41.65,81,75,6.91
205,Paamiut,GL,2021-10-12 10:15:16,61.994,-49.6678,38.26,77,64,1.23
206,Avarua,CK,2021-10-12 10:15:17,-21.2078,-159.775,75.25,94,75,16.11
207,Mandalgovi,MN,2021-10-12 10:15:17,45.7625,106.2708,49.41,23,99,9.08
208,Acarau,BR,2021-10-12 10:15:18,-2.8856,-40.12,80.98,69,83,15.59
209,Black Diamond,US,2021-10-12 10:13:20,47.3087,-122.0032,41.68,94,1,3.67
210,Saint George,US,2021-10-12 10:15:18,37.1041,-113.5841,48.67,82,90,1.01
211,Longyearbyen,SJ,2021-10-12 10:15:18,78.2186,15.6401,30.04,74,75,20.71
212,Acara,BR,2021-10-12 10:15:19,-1.9608,-48.1967,74.26,89,18,3.15
213,Dwarka,IN,2021-10-12 10:15:19,22.2394,68.9678,86.09,62,0,7.38
214,Dabat,ET,2021-10-12 10:15:20,12.9842,37.765,65.82,60,97,1.01
215,Saint-Philippe,RE,2021-10-12 10:15:20,-21.3585,55.7679,76.59,83,53,8.46
216,Bredasdorp,ZA,2021-10-12 10:15:20,-34.5322,20.0403,76.28,53,0,4.61
217,Airai,TL,2021-10-12 10:15:21,-8.9266,125.4092,65.77,83,87,2.08
218,Abu Samrah,SY,2021-10-12 10:15:21,35.3029,37.1841,84.22,27,99,8.41
219,Moron,AR,2021-10-12 10:15:21,-34.6534,-58.6198,60.55,98,100,3.38
220,Labuhan,ID,2021-10-12 10:15:22,-6.8844,112.2051,85.64,62,81,12.46
221,Ypsonas,CY,2021-10-12 10:15:22,34.6884,32.9574,86.49,65,20,11.5
222,Hobart,AU,2021-10-12 10:15:14,-42.8794,147.3294,51.26,66,20,11.5
223,Flin Flon,CA,2021-10-12 10:15:22,54.7682,-101.865,36.84,94,100,10.83
224,Sitka,US,2021-10-12 10:11:33,57.0531,-135.33,42.69,81,75,10.36
225,Byron Bay,AU,2021-10-12 10:15:23,-28.65,153.6167,65.05,92,100,15.61
226,Lagoa,PT,2021-10-12 10:15:23,39.05,-27.9833,68.59,72,10,7.76
227,Skibbereen,IE,2021-10-12 10:15:23,51.55,-9.2667,51.6,71,73,2.82
228,Ibra,OM,2021-10-12 10:15:24,22.6906,58.5334,97.54,14,0,4.59
229,Wattegama,LK,2021-10-12 10:15:24,6.7989,81.4808,85.87,57,74,3.33
230,Shingu,JP,2021-10-12 10:15:24,33.7333,135.9833,72.95,93,10,3.0
231,Fortuna,US,2021-10-12 10:15:25,40.5982,-124.1573,41.36,57,11,3.53
232,Port Lincoln,AU,2021-10-12 10:15:25,-34.7333,135.8667,56.32,74,100,16.98
233,Manggar,ID,2021-10-12 10:15:26,-2.8833,108.2667,83.7,76,74,11.34
234,Tuatapere,NZ,2021-10-12 10:15:26,-46.1333,167.6833,41.81,84,88,10.96
235,Fort Collins,US,2021-10-12 10:13:13,40.5853,-105.0844,47.39,66,1,1.99
236,Saint-Augustin,CA,2021-10-12 10:15:26,51.226,-58.6502,50.54,86,98,5.1
237,Lebu,CL,2021-10-12 10:15:27,-37.6167,-73.65,49.01,93,12,5.37
238,Yankton,US,2021-10-12 10:15:27,42.8711,-97.3973,48.11,87,1,8.05
239,Pisco,PE,2021-10-12 10:14:41,-13.7,-76.2167,60.85,82,90,5.75
240,Qasigiannguit,GL,2021-10-12 10:15:28,68.8193,-51.1922,21.45,82,29,5.39
241,Lavrentiya,RU,2021-10-12 10:15:28,65.5833,-171.0,30.58,89,100,11.95
242,Harnai,PK,2021-10-12 10:15:28,30.1005,67.9374,83.8,6,0,5.73
243,Ilula,TZ,2021-10-12 10:15:29,-7.6766,36.0366,80.4,36,80,10.0
244,Terrace,CA,2021-10-12 10:15:29,54.5163,-128.6035,44.42,93,90,16.11
245,Nikolskoye,RU,2021-10-12 10:15:29,59.7035,30.7861,49.89,49,2,9.86
246,Tual,ID,2021-10-12 10:15:30,-5.6667,132.75,83.93,74,45,8.52
247,Negara,ID,2021-10-12 10:15:30,-8.3151,114.6025,78.1,77,44,8.9
248,Mahon,ES,2021-10-12 10:15:30,39.8885,4.2658,68.56,60,20,14.97
249,Ulaanbaatar,MN,2021-10-12 10:11:35,47.9077,106.8832,48.33,27,75,6.71
